speaker,speech_text,speech_number,meeting_id
王美惠,邱委員啦！,1,LCIDC01_1107301_00006
陳以信,本席推舉溫委員玉霞為本日會議主席。,2,LCIDC01_1107301_00006
陳玉珍,到10時多啊！,3,LCIDC01_1107301_00006
陳玉珍,沒有啦！到10時多啦！,4,LCIDC01_1107301_00006
陳玉珍,來得及，我們沒有人很急嘛！,5,LCIDC01_1107301_00006
徐志榮,這是縮短耶！這樣反而縮短耶！,6,LCIDC01_1107301_00006
蘇巧慧,不是啊！剛剛是45分，現在變成55分。,7,LCIDC01_1107301_00006
蘇巧慧,留5分鐘……,8,LCIDC01_1107301_00006
蔣萬安,不是啊！不是原本到10時嗎？要往後延就是往後再延10分鐘。,9,LCIDC01_1107301_00006
陳玉珍,如果早一點投完，就早一點結束。,10,LCIDC01_1107301_00006
陳玉珍,到10時，然後早一點結束，就這樣就好了。,11,LCIDC01_1107301_00006
